Client ID,Client Tenure (Years),Client Tenure (Months),Client Age,Gender,Number of Accounts,Balance,Calls Last 6 Months,Logons Last 6 Months
9916.0,17.0,211.0,40.5,M,2,162968.55,4,7
9916.0,17.0,211.0,40.5,M,2,162968.55,4,7
10344.0,17.0,205.0,82.0,M,2,94009.47,3,6
10344.0,17.0,205.0,82.0,M,2,94009.47,3,6
10344.0,17.0,205.0,82.0,M,2,94009.47,3,6
10344.0,17.0,205.0,82.0,M,2,94009.47,3,6
10344.0,17.0,205.0,82.0,M,2,94009.47,3,6
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11054.0,4.0,56.0,60.0,M,2,208185.54,2,5
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11070.0,14.0,171.0,53.5,M,3,255988.05,6,9
11122.0,16.0,194.0,40.5,M,2,31193.51,2,5
11122.0,16.0,194.0,40.5,M,2,31193.51,2,5
11122.0,16.0,194.0,40.5,M,2,31193.51,2,5
11122.0,16.0,194.0,40.5,M,2,31193.51,2,5
11122.0,16.0,194.0,40.5,M,2,31193.51,2,5
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
11309.0,10.0,126.0,46.5,F,3,647166.96,5,8
12045.0,12.0,154.0,37.0,F,2,140704.74,2,5
12045.0,12.0,154.0,37.0,F,2,140704.74,2,5
12045.0,12.0,154.0,37.0,F,2,140704.74,2,5
12045.0,12.0,154.0,37.0,F,2,140704.74,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
12785.0,15.0,190.0,51.5,F,2,82425.55,2,5
